3551,0.613,356.020
3561,2.707,359.015
3571,3.233,313.634
3581,3.298,175.735
3591,3.314,78.564
3601,3.312,135.899
3611,3.261,283.538
3621,3.207,332.988
3631,2.453,363.060
3641,1.336,354.017
3651,2.798,363.425
3661,3.464,191.954
3671,3.464,97.805
3681,3.310,280.706
3691,2.501,336.939
3701,0.793,354.859
3711,2.043,357.721
3721,3.197,335.414
3731,3.364,223.419
3741,3.424,120.758
3751,3.376,131.673
3761,3.308,256.991
3771,3.204,299.519
3781,3.060,334.855
3791,1.635,353.959
3801,2.820,381.072
3811,3.464,185.209
3821,3.464,136.910
3831,3.464,316.742
3841,2.543,329.956
3851,1.004,350.796
3861,2.671,356.313
3871,3.464,320.920
3881,3.464,216.593
3891,3.464,72.946
3901,3.464,149.552
3911,3.413,299.056
3921,3.293,345.157
3931,1.121,349.153
3941,2.138,357.375
3951,3.438,282.367
3961,3.464,109.418
3971,3.464,159.985
3981,2.959,294.795
3991,1.931,307.978
4001,1.702,343.966
4011,3.195,325.983
4021,3.464,211.729
4031,3.464,56.626
4041,3.464,130.490
4051,3.397,278.197
4061,3.219,332.986
4071,1.262,338.765
4081,2.069,340.589
4091,3.330,277.299
4101,3.464,106.913
4111,3.464,138.005
4121,3.258,284.484
4131,1.975,313.456
4141,1.619,357.234
4151,3.291,331.436
4161,3.412,190.242
4171,3.457,36.041
4181,3.446,136.390
4191,3.322,283.516
4201,3.230,328.096
4211,1.307,324.577
4221,2.286,322.231
4231,3.464,237.798
4241,3.464,48.122
4251,3.464,199.019
4261,2.937,299.052
4271,1.046,339.006
4281,2.531,348.666
4291,3.275,282.841
4301,3.420,133.142
4311,3.342,20.066
4321,3.336,148.008
4331,3.314,272.669
4341,2.835,310.425
4351,0.728,343.661
4361,2.386,318.270
4371,3.428,208.559
4381,3.464,55.890
4391,3.464,192.267
4401,2.651,300.179
4411,0.400,333.127
4421,2.413,343.495
4431,3.138,250.627
4441,3.223,134.778
4451,3.153,92.249
4461,3.114,174.896
4471,3.064,271.799
4481,2.422,319.745
4491,0.522,351.666
4501,2.357,355.473
4511,3.301,227.843
4521,3.464,122.007
4531,2.862,177.437
4541,1.403,237.349
4551,0.866,263.122
4561,2.560,241.134
4571,2.976,172.137
4581,2.938,131.262
4591,2.893,142.984
4601,2.870,193.511
4611,2.499,245.094
4621,1.487,253.341
4631,1.166,216.843
4641,1.774,156.072
4651,2.325,89.478
4661,2.316,62.185
4671,1.538,112.790
4681,0.900,149.659
4691,1.376,160.575
4701,2.239,140.819
4711,2.836,97.347
4721,2.857,37.003
4731,2.720,93.343
4741,2.516,153.211
4751,1.367,163.267
4761,1.774,133.429
4771,2.334,95.279
4781,2.400,80.894
4791,1.621,91.258
4801,0.727,92.877
4811,1.275,88.842
4821,2.007,71.340
4831,2.082,50.912
4841,2.191,67.688
4851,2.644,134.273
4861,2.063,140.787
4871,1.871,121.246
4881,1.737,87.952
4891,1.510,54.044
4901,1.167,31.459
4911,0.770,42.330
4921,1.042,56.127
4931,1.645,54.724
4941,1.935,50.881
4951,2.299,57.157
4961,2.473,70.717
4971,2.269,96.540
4981,1.823,123.699
4991,2.086,100.185
5001,1.835,65.274
5011,1.517,53.877
5021,1.121,67.570
5031,0.947,87.163
5041,1.494,76.280
5051,1.874,61.990
5061,2.093,59.608
5071,2.208,71.925
5081,2.166,89.793
5091,2.030,73.724
5101,2.080,110.052
5111,1.779,132.069
5121,1.155,108.680
5131,0.894,77.508
5141,0.828,43.208
5151,1.194,42.120
5161,1.521,51.327
5171,1.706,51.692
5181,1.708,67.687
5191,2.032,70.739
5201,2.115,36.459
5211,2.142,38.422
5221,1.758,48.133
5231,0.937,54.222
5241,0.903,52.953
5251,1.289,38.334
5261,1.418,20.428
5271,1.291,40.861
5281,1.296,63.980
5291,1.700,62.421
5301,1.879,44.020
5311,1.444,46.437
5321,0.879,44.250
5331,0.789,46.436
5341,0.937,29.140
5351,0.933,34.231
5361,1.274,43.687
5371,1.736,32.737
5381,1.888,57.725
5391,1.755,94.794
5401,1.462,80.082
5411,0.978,81.912
5421,1.081,87.571
5431,2.044,76.623
5441,2.050,118.353
5451,1.197,198.479
5461,1.306,198.708
5471,2.263,164.274
5481,2.830,109.589
5491,2.838,16.891
5501,2.856,59.763
5511,2.884,152.790
5521,2.572,201.025
5531,1.597,243.121
5541,1.718,252.535
5551,2.866,195.312
5561,3.396,60.333
5571,3.294,144.455
5581,2.444,262.358
5591,0.526,315.303
5601,2.665,284.161
5611,2.918,175.228
5621,2.909,50.994
5631,2.867,132.061
5641,2.894,229.895
5651,2.208,294.365
5661,1.939,324.141
5671,2.635,308.774
5681,3.247,267.498
5691,3.129,43.732
5701,3.069,153.177
5711,2.583,271.970
5721,0.423,293.329
5731,2.285,281.526
5741,2.879,170.896
5751,2.905,27.879
5761,2.876,94.211
5771,2.873,201.547
5781,2.528,270.813
5791,0.929,294.452
5801,2.626,281.224
5811,3.402,109.247
5821,3.210,149.878
5831,2.597,213.538
5841,2.135,243.414
5851,1.087,242.848
5861,2.843,199.884
5871,2.870,114.829
5881,2.865,50.378
5891,2.856,113.436
5901,2.830,210.464
5911,1.427,226.464
5921,1.823,180.463
5931,2.858,161.574
5941,3.144,41.388
5951,2.477,131.929
5961,0.911,204.058
5971,1.245,209.565
5981,2.384,173.906
5991,2.528,94.859
6001,2.816,43.941
6011,2.829,90.579
6021,2.643,183.641
6031,1.561,218.705
6041,0.557,224.189
6051,2.552,223.880
6061,2.976,61.658
6071,3.055,96.234
6081,2.164,198.362
6091,1.233,216.834
6101,2.113,184.243
6111,2.828,123.560
6121,2.831,52.800
6131,2.844,46.356
6141,2.842,141.673
6151,2.519,208.669
6161,0.828,238.517
6171,0.645,252.595
6181,3.085,138.642
6191,3.069,65.504
6201,3.011,113.495
6211,1.891,218.228
6221,0.395,247.166
6231,2.050,216.905
6241,2.661,142.022
6251,2.829,73.944
6261,2.830,39.953
6271,2.624,102.090
6281,2.322,173.990
6291,1.878,215.011
6301,0.866,232.219
6311,1.898,255.186
6321,2.586,161.263
6331,2.589,102.385
6341,2.646,108.418
6351,2.039,203.583
6361,0.847,259.448
6371,2.016,240.968
6381,2.211,170.792
6391,2.553,90.922
6401,2.664,29.772
6411,2.624,55.391
6421,2.456,138.507
6431,2.287,200.937
6441,1.151,245.120
6451,0.701,270.778
6461,2.796,221.533
6471,2.645,121.830
6481,2.585,70.454
6491,2.034,176.055
6501,0.751,232.123
6511,1.424,228.633
6521,2.155,175.717
6531,2.369,86.629
6541,2.577,38.234
6551,2.527,44.635
6561,2.322,128.784
6571,2.099,195.671
6581,1.155,233.451
6591,0.842,269.328
6601,2.741,189.586
6611,2.597,119.338
6621,2.474,84.203
6631,1.828,191.721
6641,0.442,254.893
6651,1.790,236.106
6661,2.148,183.026
6671,2.364,94.020
6681,2.394,20.177
6691,2.353,54.685
6701,2.210,130.594
6711,2.061,189.556
6721,1.009,223.621
6731,0.853,247.200
6741,2.003,185.889
6751,2.318,130.636
